iter	RMSE
258	44075.48055
259	44035.30499
260	43960.25411
261	43893.36969
262	43842.93297
263	43767.17617
264	43726.10733
265	43679.78701
266	43624.91671
267	43583.34889
268	43541.68164
269	43507.24962
270	43474.45559
271	43430.26554
272	43382.96389
273	43334.60422
274	43303.70982
275	43244.74404
276	43179.26245
277	43114.42681
278	43041.73118
279	42970.75196
280	42938.76526
281	42872.49285
282	42822.7629
283	42772.17497
284	42719.56877
285	42694.30058
286	42653.30113
287	42616.39888
288	42564.01892
289	42491.20954
290	42437.9951
291	42384.70346
292	42324.8929
293	42267.9869
294	42222.37171
295	42175.76616
296	42115.64579
297	42072.15451
298	42009.9762
299	41960.79241
300	41931.95333
301	41871.64515
302	41844.36333
303	41812.76675
304	41770.38219
305	41726.24674
306	41697.34478
307	41649.69997
308	41599.21313
309	41555.39978
310	41500.83636
311	41456.93608
312	41408.80618
313	41368.84681
314	41328.65309
315	41286.29983
316	41253.38307
317	41223.52485
318	41164.93879
319	41127.40709
320	41074.80084
321	41049.24771
322	41014.43811
323	40963.4263
324	40927.06499
325	40880.79866
326	40849.45166
327	40800.89209
328	40766.33737
329	40737.11719
330	40701.71345
331	40650.79044
332	40618.45785
333	40563.27953
334	40505.38331
335	40454.34119
336	40430.46436
337	40388.36347
338	40339.22994
339	40311.96257
340	40295.08286
341	40255.41482
342	40215.48586
343	40167.03262
344	40122.73428
345	40085.25494
346	40040.7851
347	40001.69263
348	39961.28494
349	39943.95831
350	39898.86924
351	39862.44049
352	39830.05048
353	39797.34376
354	39750.98659
355	39723.8656
356	39702.19578
357	39665.07495
358	39618.49192
359	39575.91564
360	39554.54779
361	39525.84197
362	39491.42955
363	39450.57774
364	39406.03633
365	39373.39334
366	39327.1675
367	39291.48357
368	39254.68897
369	39209.87618
370	39196.94888
371	39176.3385
372	39149.77524
373	39126.2973
374	39078.8652
375	39045.41047
376	39021.54176
377	38987.9054
378	38974.36352
379	38944.3912
380	38924.88346
381	38873.52716
382	38837.9696
383	38801.85761
384	38763.59616
385	38727.54669
386	38705.44997
387	38670.20737
388	38660.30159
389	38647.51041
390	38609.07955
391	38584.24973
392	38557.63973
393	38529.27518
394	38489.17664
395	38449.87708
396	38414.89388
397	38369.3426
398	38343.69702
399	38306.67734
400	38284.91806
401	38245.06335
402	38204.83614
403	38179.4293
404	38163.68234
405	38137.16965
406	38105.64389
407	38074.9034
408	38043.63421
409	38007.83166
410	37971.95608
411	37953.73229
412	37917.27595
413	37878.75795
414	37857.72851
415	37840.44501
416	37818.65497
417	37784.45481
418	37753.79013
419	37718.29922
420	37671.56602
421	37651.57171
422	37640.46013
423	37596.17919
424	37567.54641
425	37531.47089
426	37510.3567
427	37498.88091
428	37473.07151
429	37442.6391
430	37407.32753
431	37369.79326
432	37341.07
433	37315.30904
434	37284.30364
435	37253.9964
436	37229.24989
437	37187.64736
438	37152.65979
439	37119.94564
440	37106.48378
441	37075.83888
442	37057.77412
443	37024.32846
444	36991.91084
445	36963.06603
446	36928.06611
447	36889.89163
448	36868.07464
449	36830.41359
450	36819.79405
451	36810.97787
452	36785.84405
453	36750.60268
454	36742.73588
455	36720.69775
456	36694.46889
457	36686.62094
458	36661.96591
459	36632.93476
460	36603.25388
461	36586.93998
462	36561.36101
463	36535.91726
464	36507.09599
465	36485.93872
466	36456.38546
467	36436.25099
468	36421.01836
469	36397.02581
470	36375.5943
471	36359.41541
472	36336.51201
473	36306.58854
474	36277.36774
475	36250.65098
476	36235.37085
477	36218.48898
478	36192.89501
479	36161.16155
480	36132.68347
481	36123.66549
482	36091.18005
483	36065.6939
484	36040.92491
485	36015.85648
486	35991.99461
487	35972.47671
488	35951.40867
489	35916.16578
490	35888.76943
491	35858.06217
492	35825.74564
493	35803.29249
494	35795.87429
495	35772.04092
496	35761.66109
497	35747.1083
498	35725.7722
499	35709.35995
500	35679.93612
501	35659.66509
502	35632.54149
503	35613.68331
504	35588.76993
505	35567.14804
506	35533.22862
507	35508.51959
508	35485.75006
509	35474.53646
510	35453.41452
511	35431.50656
512	35415.32645
513	35381.8024
514	35366.04297
515	35352.63564
516	35334.6666
517	35315.12407
518	35289.57189
519	35262.79149
520	35237.08767
521	35219.08877
522	35197.66403
523	35184.75547
524	35175.7508
525	35147.64841
526	35128.43332
527	35104.78949
528	35084.42557
529	35067.51734
530	35043.58829
531	35022.56012
532	35007.22141
533	34978.32008
534	34963.15853
535	34942.30083
536	34927.63041
537	34908.1491
538	34892.0239
539	34869.71259
540	34845.11171
541	34825.73217
542	34797.45382
543	34779.41153
544	34772.65901
545	34755.62098
546	34729.5166
547	34718.16093
548	34701.86582
549	34694.25224
550	34668.88083
551	34660.39755
552	34646.59042
553	34621.61264
554	34615.07887
555	34598.23471
556	34587.32156
557	34567.87174
558	34541.17945
559	34530.95547
560	34507.26425
561	34492.68577
562	34472.94207
563	34460.56877
564	34445.17625
565	34428.43571
566	34415.81333
567	34400.08816
568	34386.59926
569	34366.94739
570	34353.3108
571	34323.86915
572	34314.31009
573	34288.95894
574	34269.15011
575	34242.10151
576	34227.11712
577	34213.0023
578	34198.06915
579	34179.87749
580	34157.02269
581	34146.61168
582	34126.91346
583	34117.82997
584	34102.65876
585	34081.46437
586	34058.85739
587	34046.81901
588	34028.88895
589	34018.89551
590	34002.06238
591	33983.70738
592	33963.57535
593	33946.48561
594	33929.13053
595	33924.01762
596	33914.13617
597	33902.77785
598	33878.16683
599	33854.06946
600	33839.20516
601	33813.14614
602	33803.13825
603	33786.9684
604	33777.35406
605	33761.90346
606	33754.58396
607	33744.70517
608	33726.51092
609	33712.38916
610	33699.12226
611	33682.79915
612	33664.69938
613	33645.59485
614	33632.63519
615	33618.54268
616	33605.80506
617	33600.48456
618	33580.43715
619	33555.47688
620	33536.01415
621	33510.6882
622	33496.85173
623	33489.08171
624	33470.37762
625	33459.04705
626	33438.88509
627	33424.6466
628	33413.75531
629	33407.62605
630	33395.90595
631	33381.53782
632	33366.0085
633	33357.10872
634	33355.17813
635	33330.62983
636	33323.96029
637	33311.98624
638	33290.54702
639	33278.90089
640	33260.58776
641	33241.22013
642	33222.28502
643	33216.28376
644	33209.78238
645	33186.50821
646	33172.71466
647	33163.22313
648	33147.43998
649	33131.66062
650	33117.00298
651	33103.17675
652	33097.09008
653	33081.61391
654	33069.55557
655	33056.8815
656	33040.5731
657	33017.77074
658	33000.48111
659	32988.21335
660	32969.8792
661	32957.5664
662	32947.86601
663	32932.77538
664	32919.00858
665	32917.15417
666	32903.08875
667	32883.52158
668	32877.46754
669	32875.61418
670	32852.25044
671	32850.27329
672	32835.32799
673	32815.58688
674	32796.73989
675	32774.08186
676	32756.40815
677	32734.92202
678	32732.98413
679	32731.09286
680	32714.92906
681	32693.32228
682	32680.91309
683	32660.69305
684	32653.95885
685	32629.03942
686	32613.95107
687	32605.84406
688	32590.70403
689	32572.09491
690	32551.90848
691	32550.06222
692	32548.233
693	32534.41032
694	32518.28536
695	32516.37487
696	32514.63523
697	32501.14431
698	32499.18397
699	32482.41246
700	32480.61323
701	32467.12969
702	32460.48004
703	32442.93616
704	32426.56946
705	32415.13118
706	32403.33425
707	32392.50995
708	32375.60853
709	32357.90078
710	32356.69167
711	32337.68778
712	32335.87513
713	32320.03486
714	32305.52068
715	32303.81883
716	32302.06212
717	32300.25104
718	32292.78453
719	32270.87929
720	32253.83681
721	32252.0086
722	32250.84895
723	32249.0942
724	32236.58948
725	32220.50741
726	32218.69298
727	32210.11472
728	32197.13547
729	32186.34912
730	32184.28328
731	32182.42721
732	32180.49046
733	32178.73128
734	32164.461
735	32150.61943
736	32148.78386
737	32135.81973
738	32125.83557
739	32123.90321
740	32113.02816
741	32111.93263
742	32098.39593
743	32096.69462
744	32094.87344
745	32083.35128
746	32081.55244
747	32079.79798
748	32068.05202
749	32062.43573
750	32060.67962
751	32047.33837
752	32045.61359
753	32033.83663
754	32032.11461
755	32027.07975
756	32013.65073
757	32001.70796
758	32000.57712
759	31993.8467
760	31982.14852
761	31965.43996
762	31954.95749
763	31935.94568
764	31934.19698
765	31925.99758
766	31915.00978
767	31913.25431
768	31911.47051
769	31900.81667
770	31899.58996
771	31897.82611
772	31882.05153
773	31880.3348
774	31878.65668
775	31872.65223
776	31849.31027
777	31848.26388
778	31836.51812
779	31834.7374
780	31833.03005
781	31819.55448
782	31817.81923
783	31816.17207
784	31814.41645
785	31800.26775
786	31786.49276
787	31780.05094
788	31759.23785
789	31747.78346
790	31738.42348
791	31718.58477
792	31701.93928
793	31700.12506
794	31685.4297
795	31663.67802
796	31651.19516
797	31649.3724
798	31647.76261
799	31646.72389
800	31644.58003
801	31642.87427
802	31640.73258
803	31630.74046
804	31628.92603
805	31626.92989
806	31625.28268
807	31615.71582
808	31610.24125
809	31600.12963
810	31598.38309
811	31580.2776
812	31573.72819
813	31567.228
814	31565.5557
815	31560.10293
816	31547.91092
817	31545.78877
818	31532.75736
819	31521.46626
820	31519.8785
821	31513.10103
822	31507.68596
823	31505.57102
824	31496.97408
825	31489.79813
826	31488.7805
827	31474.1125
828	31473.01982
829	31465.15563
830	31458.01545
831	31442.96679
832	31420.92264
833	31405.56089
834	31393.77121
835	31386.68116
836	31384.87055
837	31382.68718
838	31381.02426
839	31379.32304
840	31370.20853
841	31364.94921
842	31356.94551
843	31343.64546
844	31330.42183
845	31328.32489
846	31326.72551
847	31325.72931
848	31324.18934
849	31311.3172
850	31296.61975
851	31294.96449
852	31292.88561
853	31282.21104
854	31271.71819
855	31261.69949
856	31259.61496
857	31248.42239
858	31246.82227
859	31237.33687
860	31231.6731
861	31230.66521
862	31228.58933
863	31223.11294
864	31221.39826
865	31219.87408
866	31206.54492
867	31191.88542
868	31190.35769
869	31188.82348
870	31179.95845
871	31178.42609
872	31176.52759
873	31175.00667
874	31162.83788
875	31143.58613
876	31141.91058
877	31135.16231
878	31127.28742
879	31112.54644
880	31111.03048
881	31095.97008
882	31094.43775
883	31093.38527
884	31088.18672
885	31073.18514
886	31059.05638
887	31044.97604
888	31043.43045
889	31042.4545
890	31040.96993
891	31039.4556
892	31038.4837
893	31036.97996
894	31022.54465
895	31015.2534
896	31014.22597
897	31000.37854
898	30986.46795
899	30973.63792
900	30972.50797
901	30959.69287
902	30958.72391
903	30937.61984
904	30932.53665
905	30925.03606
906	30923.01251
907	30912.84453
908	30901.79587
909	30900.18541
910	30890.6498
911	30889.16921
912	30887.64365
913	30886.12053
914	30884.63362
915	30883.17514
916	30881.70508
917	30880.19912
918	30879.22548
919	30871.70358
920	30870.17026
921	30854.82106
922	30853.8748
923	30841.23546
924	30839.77826
925	30821.92714
926	30820.46088
927	30813.89849
928	30812.93285
929	30795.63673
930	30794.15737
931	30792.67055
932	30787.57012
933	30786.13249
934	30775.88033
935	30765.45945
936	30752.54843
937	30739.24137
938	30737.80148
939	30736.36941
940	30734.95621
941	30733.5435
942	30732.04187
943	30713.60505
944	30702.36867
945	30695.94116
946	30694.48948
947	30684.96301
948	30683.53984
949	30682.1025
950	30680.23237
951	30678.80619
952	30663.61949
953	30662.17457
954	30654.82342
955	30653.40802
956	30651.99186
957	30643.2479
958	30641.85307
959	30628.73628
960	30615.638
961	30614.19527
962	30612.59727
963	30611.14102
964	30609.73868
965	30607.88151
966	30601.65961
967	30600.2279
968	30590.4316
969	30569.44122
970	30567.8823
971	30566.48327
972	30561.65251
973	30548.68895
974	30547.30455
975	30545.92304
976	30535.71369
977	30534.27783
978	30519.07714
979	30517.6969
980	30516.28262
981	30514.91286
982	30501.61325
983	30500.19035
984	30493.55393
985	30492.14533
986	30490.75987
987	30484.64958
988	30483.24209
989	30476.8722
990	30475.51163
991	30474.14744
992	30468.06273
993	30466.66982
994	30465.75944
995	30464.36797
996	30448.25244
997	30428.55034
998	30427.1711
999	30425.72379
1000	30424.3111
1001	30422.90638
1002	30413.65733
1003	30412.28168
1004	30410.81197
1005	30409.04056
1006	30407.64976
1007	30406.23106
1008	30404.84075
1009	30403.37942
1010	30383.20061
1011	30381.743
1012	30381.24236
1013	30379.89626
1014	30367.35656
1015	30357.99831
1016	30357.42457
1017	30351.34214
1018	30349.9599
1019	30348.55211
1020	30335.97624
1021	30334.64215
1022	30313.82275
1023	30312.45324
1024	30311.07759
1025	30309.74559
1026	30308.3719
1027	30306.86996
1028	30293.38258
1029	30284.13997
1030	30282.57328
1031	30281.06837
1032	30279.72432
1033	30259.17468
1034	30257.81189
1035	30242.04697
1036	30240.65608
1037	30227.89761
1038	30226.5384
1039	30225.18297
1040	30223.79747
1041	30210.98483
1042	30205.09061
1043	30197.99221
1044	30196.60591
1045	30195.28368
1046	30193.96515
1047	30192.62401
1048	30171.80674
1049	30170.45536
1050	30164.5906
1051	30155.03189
1052	30153.69324
1053	30146.66324
1054	30141.55395
1055	30140.18173
1056	30139.35358
1057	30138.01213
1058	30136.66939
1059	30135.79636
1060	30134.91296
1061	30133.53886
1062	30132.20406
1063	30130.88038
1064	30129.50459
1065	30121.76422
1066	30113.26841
1067	30111.88699
1068	30107.16213
1069	30102.34873
1070	30100.94595
1071	30099.58467
1072	30092.93512
1073	30091.64074
1074	30090.30501
1075	30088.97765
1076	30081.14531
1077	30079.86173
1078	30078.58145
1079	30067.22932
1080	30065.94943
1081	30064.56974
1082	30057.65315
1083	30056.37014
1084	30047.31347
1085	30037.87709
1086	30036.10736
1087	30030.35969
1088	30024.53153
1089	30017.6716
1090	30016.32019
1091	30015.04074
1092	30013.59478
1093	30012.31033
1094	29998.38202
1095	29997.10869
1096	29995.84012
1097	29989.02194
1098	29979.76344
1099	29978.48463
1100	29966.24248
1101	29959.61635
1102	29950.61116
1103	29949.23678
1104	29947.48825
1105	29946.04008
1106	29944.74976
1107	29943.47038
1108	29942.18717
1109	29940.44108
1110	29939.1669
1111	29934.5398
1112	29932.8602
1113	29928.37997
1114	29927.60506
1115	29923.04973
1116	29921.75895
1117	29915.5195
1118	29906.40058
1119	29894.47108
1120	29893.18695
1121	29892.3656
1122	29891.57176
1123	29879.81434
1124	29879.39745
1125	29878.12378
1126	29876.03466
1127	29864.00005
1128	29852.2824
1129	29850.67578
1130	29841.51239
1131	29840.1013
1132	29831.09374
1133	29829.37072
1134	29817.77327
1135	29816.4476
1136	29815.17561
1137	29813.93669
1138	29812.68966
1139	29801.02769
1140	29799.79272
1141	29798.48486
1142	29797.94428
1143	29796.68756
1144	29795.803
1145	29795.02002
1146	29785.54446
1147	29784.17935
1148	29782.8526
1149	29781.59004
1150	29776.07079
1151	29767.62347
1152	29766.03718
1153	29764.78641
1154	29763.0749
1155	29747.28312
1156	29736.56499
1157	29734.77403
1158	29733.55473
1159	29732.27682
1160	29730.42807
1161	29716.48253
1162	29707.80888
1163	29706.57764
1164	29705.82064
1165	29689.10984
1166	29680.03236
1167	29674.58554
1168	29673.26672
1169	29671.22605
1170	29666.72736
1171	29665.52076
1172	29664.77072
1173	29663.97398
1174	29663.21933
1175	29662.00517
1176	29660.57762
1177	29649.32372
1178	29647.87498
1179	29646.66484
1180	29645.91012
1181	29640.50654
1182	29639.11869
1183	29627.9415
1184	29627.12632
1185	29625.35534
1186	29624.08112
1187	29606.57769
1188	29601.37328
1189	29594.24107
1190	29593.03042
1191	29592.24118
1192	29590.93887
1193	29579.86245
1194	29578.5922
1195	29577.39741
1196	29576.13181
1197	29574.93232
1198	29573.67127
1199	29572.40214
1200	29571.58081
1201	29570.76736
1202	29569.52256
1203	29554.50085
1204	29553.27858
1205	29547.76008
1206	29546.97226
1207	29536.00456
1208	29527.23062
1209	29525.42242
1210	29524.21976
1211	29523.01486
1212	29504.82424
1213	29487.16376
1214	29486.36189
1215	29484.69336
1216	29483.47385
1217	29467.96892
1218	29462.72877
1219	29461.50825
1220	29457.11259
1221	29456.36827
1222	29455.55643
1223	29451.01182
1224	29435.64529
1225	29428.61595
1226	29427.4488
1227	29426.65661
1228	29425.48995
1229	29405.9104
1230	29404.1751
1231	29402.75677
1232	29401.45935
1233	29393.02724
1234	29387.61832
1235	29379.71974
1236	29375.07443
1237	29365.68007
1238	29360.54069
1239	29359.32009
1240	29352.36749
1241	29351.58289
1242	29344.5334
1243	29343.76473
1244	29339.52048
1245	29337.75414
1246	29336.17706
1247	29334.99171
1248	29333.27776
1249	29327.46758
1250	29326.21654
1251	29324.99513
1252	29323.84765
1253	29318.75415
1254	29317.19051
1255	29315.48237
1256	29310.47902
1257	29309.32744
1258	29300.45409
1259	29299.19367
1260	29297.92333
1261	29296.64193
1262	29295.4713
1263	29294.31961
1264	29280.12005
1265	29278.85344
1266	29277.64301
1267	29272.37304
1268	29271.58479
1269	29270.39275
1270	29265.97194
1271	29264.76553
1272	29246.02375
1273	29241.61457
1274	29236.08921
1275	29235.26722
1276	29234.48274
1277	29233.26871
1278	29226.47392
1279	29225.28162
1280	29224.13112
1281	29223.364
1282	29221.67497
1283	29216.66719
1284	29215.11363
1285	29213.89066
1286	29212.70546
1287	29210.97451
1288	29209.84011
1289	29208.29749
1290	29207.13005
1291	29205.97197
1292	29204.76303
1293	29203.61613
1294	29202.37026
1295	29197.18281
1296	29195.50418
1297	29194.32451
1298	29193.18022
1299	29191.45736
1300	29185.46552
1301	29176.54415
1302	29175.01105
1303	29173.87586
1304	29168.31656
1305	29167.08569
1306	29165.41629
1307	29160.27666
1308	29149.87506
1309	29148.64029
1310	29140.31734
1311	29123.30889
1312	29118.3226
1313	29117.62675
1314	29111.70911
1315	29110.5509
1316	29101.91916
1317	29101.12493
1318	29084.921
1319	29074.65788
1320	29073.90802
1321	29072.3913
1322	29071.23222
1323	29070.5085
1324	29063.18392
1325	29062.75973
1326	29061.51703
1327	29061.13642
1328	29054.66668
1329	29046.50129
1330	29039.77883
1331	29038.62273
1332	29037.45849
1333	29031.07182
1334	29023.63342
1335	29022.9002
1336	29010.26681
1337	29006.21419
1338	29005.02264
1339	29003.5207
1340	29002.39722
1341	29001.64244
1342	28986.66357
1343	28970.72852
1344	28969.64493
1345	28968.90822
1346	28968.49131
1347	28962.88332
1348	28962.14624
1349	28947.95225
1350	28947.20619
1351	28946.1264
1352	28944.49465
1353	28943.00256
1354	28935.14513
1355	28934.3904
1356	28934.01449
1357	28932.81967
1358	28924.9967
1359	28924.27665
1360	28923.1489
1361	28910.70337
1362	28905.44151
1363	28904.36186
1364	28903.85339
1365	28896.81954
1366	28883.37951
1367	28881.89868
1368	28874.17043
1369	28872.68932
1370	28872.31084
1371	28871.57038
1372	28866.85008
1373	28866.45735
1374	28864.80322
1375	28864.0782
1376	28858.44155
1377	28842.63302
1378	28841.48587
1379	28836.79448
1380	28829.7819
1381	28827.23422
1382	28812.22166
1383	28810.61738
1384	28803.69028
1385	28798.25774
1386	28793.59404
1387	28784.60033
1388	28783.8913
1389	28783.18255
1390	28766.66355
1391	28762.52083
1392	28761.41091
1393	28749.73751
1394	28742.02934
1395	28740.39847
1396	28739.29299
1397	28738.18505
1398	28722.20057
1399	28720.61182
1400	28719.50578
1401	28718.38825
1402	28704.704
1403	28691.88845
1404	28691.16307
1405	28690.76346
1406	28690.0421
1407	28685.37871
1408	28684.33975
1409	28676.84541
1410	28659.19376
1411	28658.48852
1412	28650.86185
1413	28646.82356
1414	28645.72785
1415	28645.02396
1416	28643.58332
1417	28639.50064
1418	28639.13447
1419	28638.33216
1420	28634.56549
1421	28633.44206
1422	28628.74244
1423	28623.26945
1424	28622.55682
1425	28615.06077
1426	28607.49366
1427	28607.14367
1428	28606.78194
1429	28605.71221
1430	28604.57622
1431	28598.45273
1432	28582.4181
1433	28581.75248
1434	28581.38766
1435	28580.32339
1436	28578.99177
1437	28578.35943
1438	28577.65088
1439	28573.6551
1440	28566.56081
1441	28565.86048
1442	28564.80222
1443	28556.48499
1444	28545.91696
1445	28542.20039
1446	28541.51312
1447	28537.62356
1448	28533.06555
1449	28528.76741
1450	28524.80408
1451	28524.13864
1452	28523.7788
1453	28516.08274
1454	28515.03381
1455	28511.04559
1456	28501.46205
1457	28500.78418
1458	28500.12976
1459	28486.04076
1460	28485.38701
1461	28478.40133
1462	28477.70134
1463	28476.66719
1464	28475.98923
1465	28468.35439
1466	28459.88893
1467	28458.89122
1468	28452.33944
1469	28450.80013
1470	28437.58274
1471	28436.89088
1472	28435.73669
1473	28430.81509
1474	28428.32038
1475	28426.6864
1476	28425.15179
1477	28421.39554
1478	28420.32622
1479	28419.28248
1480	28418.8247
1481	28414.07873
1482	28401.14721
1483	28395.36443
1484	28391.32789
1485	28390.28877
1486	28385.93387
1487	28382.02235
1488	28380.98674
1489	28379.82451
1490	28378.76054
1491	28377.67571
1492	28368.45948
1493	28362.62472
1494	28358.22906
1495	28356.84094
1496	28355.78337
1497	28354.35873
1498	28350.52641
1499	28349.86419
1500	28345.37425
1501	28336.56112
1502	28335.48564
1503	28331.92865
1504	28327.3762
1505	28326.35918
1506	28320.69807
1507	28316.75909
1508	28315.71617
1509	28309.99275
1510	28308.99915
1511	28307.95627
1512	28301.71322
1513	28298.0284
1514	28296.98249
1515	28296.65236
1516	28295.15035
1517	28293.61779
1518	28292.58273
1519	28280.74713
1520	28279.24885
1521	28278.17072
1522	28277.52013
1523	28277.15165
1524	28272.65064
1525	28268.26443
1526	28267.59366
1527	28264.0684
1528	28259.69777
1529	28259.04762
1530	28257.64831
1531	28256.63695
1532	28252.40099
1533	28251.21862
1534	28250.5522
1535	28246.73301
1536	28237.12563
1537	28236.45662
1538	28229.67264
1539	28228.62245
1540	28211.95008
1541	28211.66642
1542	28210.64491
1543	28207.1356
1544	28198.00726
1545	28194.21098
1546	28193.16622
1547	28191.99927
1548	28191.35336
1549	28191.00115
1550	28177.30628
1551	28173.69353
1552	28169.676
1553	28162.75781
1554	28162.4212
1555	28146.60347
1556	28132.53709
1557	28116.14078
1558	28115.47943
1559	28101.70781
1560	28101.05015
1561	28100.40886
1562	28096.98117
1563	28082.87405
1564	28075.48569
1565	28074.84525
1566	28068.25857
1567	28063.53035
1568	28058.03337
1569	28049.72087
1570	28049.10524
1571	28045.32318
1572	28041.74034
1573	28040.27269
1574	28039.26262
1575	28038.9261
1576	28038.31388
1577	28023.9172
1578	28020.36573
1579	28019.74761
1580	28018.79531
1581	28014.69099
1582	28013.2281
1583	28012.59455
1584	28003.77121
1585	28003.12573
1586	27989.3068
1587	27985.2229
1588	27984.25
1589	27983.61866
1590	27980.22554
1591	27979.59355
1592	27979.22217
1593	27977.7642
1594	27977.11873
1595	27976.80651
1596	27972.84077
1597	27968.90666
1598	27967.35803
1599	27958.61599
1600	27957.16174
1601	27953.48291
1602	27949.84727
1603	27948.64665
1604	27948.31345
1605	27946.86188
1606	27946.13928
1607	27937.49995
1608	27936.05221
1609	27935.42639
1610	27933.97987
1611	27921.71332
1612	27910.87585
1613	27909.88198
1614	27908.94567
1615	27908.32192
1616	27894.85369
1617	27894.21773
1618	27878.64488
1619	27878.03403
1620	27872.2254
1621	27871.58623
1622	27870.59345
1623	27869.63327
1624	27869.32741
1625	27868.70601
1626	27868.38709
1627	27864.3934
1628	27860.96853
1629	27850.95984
1630	27847.46916
1631	27843.42651
1632	27842.49932
1633	27841.19068
1634	27840.58504
1635	27839.15163
1636	27826.15877
1637	27824.72659
1638	27823.72999
1639	27823.40055
1640	27821.96979
1641	27821.3842
1642	27821.04917
1643	27820.41822
1644	27816.08868
1645	27814.78641
1646	27814.18422
1647	27813.87753
1648	27809.86765
1649	27809.55353
1650	27794.72758
1651	27791.43101
1652	27790.16743
1653	27774.36489
1654	27773.73674
1655	27772.31468
1656	27768.70485
1657	27754.02559
1658	27753.42816
1659	27753.15967
1660	27752.85728
1661	27751.56182
1662	27750.94674
1663	27750.63414
1664	27750.33388
1665	27737.25047
